Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
FE/	fe/o	F	BRO9: feo										
FEBR/	febr/o	F	BRO8: febro		fièvre	fever	Fieber	febra	?????????				
FEBRUAR/	Februar/o	F	BRO5: Februaro		Février	February	Februar	Luty	???????				
FEC^/	fec^/o	F	BRO9: fec^o		lie	lees, dregs AK	Hefe, Sediment AK	droz'dz'e	??????				
FEDERACI/	federaci/o	1OA	BRO9: federacio		fédération	federation	Föderation	federacja	?????????				
FEL/	fel/o	F	BRO8: felo		peau, fourrure	hide, fleece	Fell	skóra, futro AK	?????, ????				
FELIC^/	felic^/a	F	BRO2: felic^a		heureux	happy	glücklich	szcze;s'liwy	??????????				
FELT/	felt/o	F	BRO9: felto		feutre	felt (cloth) AK	Filz	pils'n'	??????, ???? AK				
FEND/	fend/o	F	BRO8: fendo		fendre	split	spalten	?upac', rozp?atac'	???????????				
FENESTR/	fenestr/o	F	BRO3: fenestro		fenêtre	window	Fenster	okno	????				
FENOMEN/	fenomen/o	1OA	BRO9: fenomeno		phénomène	phenomenon	Phänomen	fenomen	????????				
FER/	fer/o	F	BRO4: fero		fer	iron	Eisen	z'elazo	??????				
FERI/	feri/o	3OA	BRO7: ferio		vacances	holidays	Ferien	wakacje		vacaciones	feria, vacanza		feria
FERM/	ferm/i	F	BRO3: fermi		fermer	shut	schliessen, zumachen	zamykac'	????????? AK				
FERVOR/	fervor/a	F	BRO8: fervora		zèle, ferveur	zeal, ardour	Eifer	gorliwos'c'	???????				
FEST/	fest/i	F	BRO4: festi		fêter	celebrate AK	feiern	s'wie;towac'	???????????				
FESTEN/	festen/i	F	BRO8: festeni		banqueter	feast, banquet	schmausen	ucztowac'	????????				
FI	fi	F +1OA +7OA	BRO9: fi		fi!	fie! for shame!	pfui!	fe!	????!				
FIANC^/	fianc^/o	F	BRO7: fianc^o		fiancé	betrothed person	Bräutigam	narzeczony	??????				
FID/	fid/i	F	BRO7: fidi		se fier, compter sur, avoir foi en AK	rely upon, trust on	vertrauen, sich verlassen AK	polegac', spuszczac' sie;	?????????? ?? ?. ?.				
FIDEL/	fidel/a	F	BRO6: fidela		fidèle	faithful	treu	wierny	??????				
FIER/	fier/a	F	BRO6: fiera		fier AK	proud	stolz	dumny	??????				
FIG/	fig/o	F	BRO9: figo		figue	fig	Feige	figa	????				
FIGUR/	figur/o	F	BRO7: figuro		figurer, représenter AK	figure, represent	darstellen, abbilden AK	wyobraz.ac', postac' AK	??????????				
FIKCI/	fikci/o	4OA	BRO9: fikcio		fiction	fiction	Erdichtung			ficción	finzione (letter.)	ficció	ficção
FIL/	fil/o	F	BRO3: filo		fils	son	Sohn	syn	????				
FILM/	film/o	8OA	BRO7: filmo	film/o. Bendo kovrita de fotoemulsio; tuto de la bildoj fiksitaj sur tia(j) bendo(j) kaj projekcieblaj sur ekranon.	film, pellicule	film	Film			film(e)	film, pellicola		fita, filme
FIN/	fin/i	F	BRO2: fini		finir (trans.) AK	finish, end (trans.) AK	enden, beendigen	kon'czyc'	???????				
FINANC/	financ/o	1OA	BRO8: financo		finance	finance	Finanzen	finanse	???????				
FINGR/	fingr/o	F	BRO3: fingro		doigt	finger	Finger	palec	??????				
FIRM/	firm/a	F	BRO6: firma		ferme, solide AK	firm	fest	staly, mocny	??????? AK				
FIS^/	fis^/o	F	BRO4: fis^o		poisson	fish	Fisch	ryba	????				
FIZIK/	fizik/o	F +1OA +7OA	BRO8: fiziko		physique	physics	Physik	fizyka	??????				
FLAG/	flag/o	F	BRO6: flago		bannière	flag	Flagge	bandera, flaga	?????				
FLAGR/	flagr/i	3OA	BRO9: flagri		flamboyer	to blaze, flash, flare	flackern, flammen, blitzen	migotac' (noto)		arrojar llamas	fiammeggiare, divampare		
FLAM/	flam/o	F	BRO7: flamo		flamme	flame	Flamme	p?omien'	?????				
FLANK/	flank/o	F	BRO2: flanko		côté	side	Seite	strona	???????				
FLAR/	flar/i	F	BRO8: flari		flairer, sentir	smell (vb.)	riechen, schnupfen	wa;chac'	??????, ??????? AK				
FLAT/	flat/i	F	BRO9: flati		flatter	flatter	schmeicheln	pochlebiac'	???????				
FLAV/	flav/a	F	BRO5: flava		jaune	yellow	gelb	z'ó?ty	??????				
FLEG/	fleg/i	F	BRO6: flegi		soigner (un malade) AK	nurse, tend AK	pflegen, verpflegen, warten (z. B. Kranke) AK	piele;gnowac'	????????? (?? ???????? ? ?.?.) AK				
FLEKS/	fleks/i	F	BRO8: fleksi		fléchir, ployer	bend	biegen	gia;c'	?????				
FLIK/	flik/i	F	BRO9: fliki		rapiécer AK	patch, repair	flicken AK	?atac'	??????, ?????? ???????, ???????? AK				
FLIRT/	flirt/i	F	BRO8: flirti		voltiger, voleter	flirt, flutter	flattern	trzepotac'	???????, ??????????? AK				
FLOR/	flor/o	F	BRO4: floro		fleurir	bloom, flower (vb.) AK	blühen	kwitna;c'	??????				
FLOS/	flos/o	F	BRO7: floso		radeau, train de bois flotté AK	float, raft	Floss	tratwa AK	?????				
FLU/	flu/i	F	BRO5: flui		couler	flow	fliessen	plyna;c', ciekna;c'	????				
FLUG/	flug/i	F	BRO3: flugi		voler (avec des ailes)	fly (vb.)	fliegen	latac'	??????				
FLUID/	fluid/o	F	BRO9: fluido		liquide	fluid	flüssig	p?ynny	??????				
FLUSTR/	flustr/i	3OA	BRO9: flustri		chuchoter	to whisper	flüstern	szeptac' (noto)		cuchichear (noto)	bisbigliare, sussurrare		(noto)
FOIR/	foir/o	F	BRO8: foiro		foire	fair (subst.)	Jahrmarkt, Messe	jarmark	???????				
FOJ/	foj/o	F	BRO2: fojo		fois	time (e. g. three times etc.)	Mal, einmal	raz	????				
FOJN/	fojn/o	F	BRO7: fojno		foin	hay	Heu	siano	????				
FOLI/	foli/o	F	BRO5: folio		feuille	leaf, sheet (paper) AK	Blatt, Bogen (Papier)	lis'c', arkusz	?????				
FOND/	fond/i	F	BRO8: fondi		fonder	found	gründen	zak?adac'	??????????				
FONOGRAF/	fonograf/o	2OA	BRO8: fonografo										
FONT/	font/o	F	BRO5: fonto		source	fountain	Quelle	z.ród?o	?????????				
FONTAN/	fontan/o	F	BRO9: fontano		fontaine (jaillissante)	fountain AK	Springbrunnen	wodotrysk	???????				
FOR	for	F	BRO1: for		loin, hors	forth, away AK	fort, weg AK	precz	?????				
FORGES/	forges/i	F	BRO4: forgesi		oublier	forget	vergessen	zapominac'	????????				
FORG^/	forg^/i	F	BRO7: forg^i		forger	forge (smith’s work) AK	schmieden	kuc'	??????				
FORK/	fork/o	F	BRO6: forko		fourche, fourchette AK	fork	Gabel	wid?y, widelec	????, ?????				
FORM/	form/o	F	BRO2: formo		forme	form	Form	forma, kszta?t	?????				
FORMIK/	formik/o	F	BRO9: formiko		fourmi	ant	Ameise	mrówka	???????				
FORMUL/	formul/o	1OA	BRO9: formulo		formule	formula	Formel	formu?a	???????				
FORN/	forn/o	F	BRO6: forno		fourneau, poële, four	stove, furnace, oven AK	Ofen	piec	????, ?????				
FORT/	fort/a	F	BRO2: forta		fort	strong	stark, kräftig	silny	???????				
FORTIK/	fortik/a	F	BRO7: fortika		solide, robuste	solid, durable, robust AK	fest, haltbar	mocny, trwa?y	???????, ???????				
FOST/	fost/o	F	BRO8: fosto		poteau	post, stake	Pfosten	przywój, s?up AK	??????				
FOTEL/	fotel/o	8OA	BRO9: fotelo	fotel/o. Komforta kaj sufic^e ampleksa sidilo, kun brak- kaj dors-apogiloj, por unu persono. (Ordinare, la fotelo estas malalta kaj c^iuflanke kusene remburita, dum la brakseg^o, pli malpeza, havas apartajn brakapogilojn kaj pli similas al ordinara seg^o.)	fauteuil	easy-chair, armchair, (fauteuil)	Lehnstuhl, (Sessel), (Fauteuil)			butaca, sillón	poltrona		poltrona
FOTOGRAF/	fotograf/i	F +1OA +7OA	BRO7: fotografi		photographier	photograph	photographieren	fotografowac'	???????????????				
FRAG/	frag/o	F	BRO8: frago		fraise	strawberry	Erdbeere	poziomka	?????????				
FRAK/	frak/o	F	BRO9: frako		frac	dress-coat	Frack	frak	?????				
FRAKAS/	frakas/i	F	BRO8: frakasi		broyer, écraser	shatter, smash AK	zermalmen	druzgotac'	??????????? AK				
FRAMB/	framb/o	F	BRO8: frambo		framboise	raspberry	Himbeere	malina	??????				
FRAND/	frand/i	F	BRO7: frandi		manger avec gourmandise, par friandise AK	revel in dainties, junket AK	naschen	?asowac' AK	??????????				
FRAP/	frap/i	F	BRO4: frapi		frapper	hit, knock (vb.) AK	klopfen	stukac', uderzac'	???????, ???????				
FRAT/	frat/o	F	BRO3: frato		frère	brother	Bruder	brat	?????				
FRAU(L/	frau(l/o	F	BRO3: frau(lo		célibataire, garçon AK	bachelor	Junggeselle AK	kawaler	???????? ?????????				
FRAZ/	fraz/o	1OA	BRO9: frazo		phrase	phrase, sentence	Phrase, Satz	zdanie, frazes	?????				
FREMD/	fremd/a	F	BRO4: fremda		étranger	strange, foreign	fremd	obcy	?????				
FRENEZ/	frenez/a	F	BRO7: freneza		fou	mad, crazy AK	wahnsinnig	ob?a;kany	??????????				
FRES^/	fres^/a	F	BRO5: fres^a		frais, récent	fresh	frisch	s'wiez'y	??????				
FRIPON/	fripon/o	F	BRO9: fripono		fripon, coquin	rogue, knave	Spitzbube, Schelm	szelma, ?otr AK	?????????				
FRIT/	frit/i	1OA	BRO8: friti		frire (tr.)	fry	in der Pfanne backen	smaz.yc'	?????? (?? ?????????)				
FRIZ/	friz/i	F	BRO8: frizi		friser	friz, curl, dress (hair) AK	frisiren	uczesac', trefic'	???????????				
FROMAG^/	fromag^/o	F	BRO6: fromag^o		fromage	cheese	Käse	ser	????				
FRONT/	front/o	F	BRO9: fronto		front (milit.) AK	front	Fronte	front	??????				
FROST/	frost/o	F	BRO7: frosto		gelée	frost	Frost	mróz	??????				
FROT/	frot/i	F	BRO7: froti		frotter	rub	reiben	trzec'	??????				
FRU/	fru/a	F	BRO3: frua		de bonne heure	early	früh	rano, wczes'nie	????				
FRUKT/	frukt/o	F	BRO3: frukto		fruit	fruit	Frucht	owoc	?????				
FRUNT/	frunt/o	F	BRO6: frunto		front (partie du visage) AK	forehead	Stirn	czo?o	????				
FUG^/	fug^/i	8OA	BRO9: fug^i	fug^/i. Forkuri, por savi sin de reala au( imagata dang^ero.	fuir, s’enfuir	to flee	(ent-)fliehen, flüchten, davonlaufen			huir	fuggire		fugir
FULG/	fulg/o	F	BRO8: fulgo		suie	soot	Russ	sadza	????				
FULM/	fulm/o	F	BRO7: fulmo		éclair, foudre AK	lightning	Blitz	b?yskawica	??????				
FUM/	fum/o	F	BRO6: fumo		fumée	smoke	Rauch	dymic', palic' (papierosy) AK	????				
FUND/	fund/o	F	BRO5: fundo		fond	bottom	Boden, Grund	dno	???				
FUNDAMENT/	fundament/o	F	BRO8: fundamento		fondement	foundation	Fundament	fundament	?????????				
FUNEBR/	funebr/o	F	BRO8: funebro		deuil	mourning AK	Trauer	z'a?oba	??????				
FUNEL/	funel/o	F	BRO9: funelo		entonnoir	funnel, mill-hopper	Trichter	lejek	???????				
FUNG/	fung/o	F	BRO9: fungo		champignon	fungus, mushroom AK	Pilz	grzyb	?????				
FUNKCI/	funkci/o	1OA	BRO8: funkcio		fonction	function	Funktion	funkcja	???????				
FUNT/	funt/o	F	BRO8: funto		livre (mesure de pesanteur) AK	pound	Pfund	funt	?????				
FURAG^/	furag^/o	F	BRO9: furag^o		fourrage	forage	Futter, Verpflegung AK	furaz'	??????				
FURIOZ/	furioz/a	F	BRO9: furioza		furieux	furious, raging	toll, wüthend	ws'ciek?y (z gniewu) AK	????????				
FUS^/	fus^/i	F	BRO9: fus^i		gâcher, saboter, bâcler AK	bungle, blunder, botch AK	pfuschen	partaczyc'	???????, ????? ????????				
GAJ/	gaj/a	F	BRO4: gaja		gai	gay, glad	lustig, fröhlich	weso?y	???????				
GAJN/	gajn/i	F	BRO4: gajni		gagner	gain	gewinnen	wygrywac', zyskac' AK	??????????				
GAL/	gal/o	F	BRO9: galo		bile, fiel AK	gall	Galle	z'ó?c'	?????				
GALOS^/	galos^/o	F	BRO9: galos^o		galoche	galosh AK	Galosche	kalosz	??????				
GANT/	gant/o	F	BRO8: ganto		gant	glove	Handschuh	re;kawiczka	????????				
GARAG^/	garag^/o	8OA	BRO8: garag^o	garag^/o. Konstruaj^o, kie oni tenas, prizorgas au( riparas au(tojn.	garage	garage	Garage			cochera, garaje	garage		garagem
GARANTI/	garanti/i	F	BRO8: garantii		garantir, donner des garanties, se porter garant AK	guarantee (vb.) AK	bürgen	re;czyc'	????????				
GARB/	garb/o	F	BRO9: garbo		gerbe	sheaf, shock	Garbe	snop	?????				
GARD/	gard/i	F	BRO5: gardi		garder (prendre soin)	guard, watch over AK	hüten	strzedz	???????, ??????				
GARN/	garn/i	3OA	BRO9: garni		garnir	to garnish	garnieren	garnirowac' (noto)		guarnecer	guarnire		garnacer
GAS/	gas/o	F	BRO6: gaso		gaz	gas	Gas	gaz	????				
GAST/	gast/o	F	BRO6: gasto		hôte, convive AK	guest	Gast	gos'c'	?????				
GAZET/	gazet/o	F	BRO4: gazeto		gazette	gazette, news-paper	Zeitung	gazeta	??????, ?????? AK				
GE/	ge-	F	BRO1: ge-		les deux sexes réunis; ex. patr/ père -- ge/patr/o/j les parents (père et mère)	of both sexes; e. g. patr/ father -- ge/patr/o/j parents	beiderlei Geschlechtes; z. B. patr/ Vater -- ge/patr/o/j Eltern; mastr/ Wirth -- ge/mastr/o/j Wirth und Wirthin	obojej p?ci, np. patr/ ojciec -- ge/patr/o/j rodzice; mastr/ gospodarz -- ge/mastr/o/j gospodarstwo (gospodarz i gospodyni)	?????? ????, ????. patr/ ????? -- ge/patr/o/j ????????; mastr/ ??????? -- ge/mastr/o/j ??????? ?? ????????				
GELATEN/	gelaten/o	F	BRO9: gelateno		gélatine	jelly	Gallerte	galareta	???????, ????				
GENERACI/	generaci/o	F	BRO9: generacio		génération	generation	Geschlecht, Generation	pokolenie	?????????				
GENERAL/	general/o	F +1OA +8OA	BRO9: generalo		général (milit.)	a general	General	gienera?	????????				
GENI/	geni/o	1OA	BRO8: genio		génie (talent)	genius	Genie	gienjusz	?????				
GENT/	gent/o	F	BRO9: gento		race	race, kind, genus	Geschlecht, Stamm	plemie;, ród AK	?????				
GENU/	genu/o	F	BRO5: genuo		genou	knee	Knie	kolano	??????				
GEOGRAFI/ (noto)	geografi/o	F +1OA +7OA	BRO9: geografio		géographie	geography	Geographie	gieografja	?????????				
GEST/	gest/i	F	BRO8: gesti		geste	gesture	Geberde	giest, ruch cia?a	?????, ????????????				
GIRLAND/	girland/o	1OA	BRO9: girlando		guirlande	garland	Girlande	girlanda	????????				
GLACI/	glaci/o	F	BRO5: glacio		glace	ice (natural) AK	Eis	lód	????				
GLAD/	glad/i	F	BRO8: gladi		repasser (du linge)	to iron AK	plätten	prasowac' (bielizne;) AK	??????? (?????)				
GLAS/	glas/o	F	BRO4: glaso		verre (à boire)	a glass, tumbler AK	Glas (Gefäss)	szklanka	???????				
GLAT/	glat/a	F	BRO7: glata		uni, lisse	smooth, glossy (not rough) AK	glatt	g?adki	???????				
GLAV/	glav/o	F	BRO9: glavo		glaive, épée	sword	Schwert	miecz	????				
GLIT/	glit/i	F	BRO6: gliti		glisser	glide, skate, slide AK	gleiten, glitschen	s'lizgac' sie;	?????????				
GLOB/	glob/o	F	BRO7: globo		boule, globe	globe	Kugel	kula, glob AK	????				
GLOR/	glor/o	F	BRO8: gloro		glorifier	glorify AK	rühmen, preisen	wys?awiac'	???????				
GLU/	glu/o	F	BRO7: gluo		coller	glue	leimen	kleic'	??????				
GLUT/	glut/i	F	BRO8: gluti		avaler, engloutir	swallow (vb.)	verschlingen, verschlucken; einnehmen (Medizin) AK	po?ykac'	???????				
GOBI/	gobi/o	F	BRO9: gobio		goujon	gudgeon	Gründling	kie?b	???????				
GOLF/	golf/o	F	BRO8: golfo		golfe, baie AK	gulf AK	Golf, Meerbusen AK	zatoka	?????, ??????				
GORG^/	gorg^/o	F	BRO7: gorg^o		gorge, gosier	throat	Kehle, Gurgel, Hals	gard?o	?????				
GRACI/	graci/a	F	BRO7: gracia		gracieux, délié, élancé AK	slender	graziös, zierlich AK	wysmuk?y, zgrabny AK	????????				
GRAD/	grad/o	F	BRO7: grado		degré	degree	Grad, Stufe	stopien'	???????, ???????				
GRAJN/	grajn/o	F	BRO8: grajno		grain, pépin	a grain	Korn, Körnchen	ziarno	?????				
GRAM/	gram/o	1OA	BRO9: gramo		gramme	gram	Gramm	gram	??????				
GRAMATIK/	gramatik/o	F	BRO9: gramatiko		grammaire	grammar	Grammatik	gramatyka	??????????				
GRAND/	grand/a	F	BRO2: granda		grand	great, tall	gross	wielki, duz'y	???????, ???????				
GRANDIOZ/	grandioz/a	1OA	BRO9: grandioza		grandiose, sublime	grand	grossartig	wspania?y	???????????				
GRAS/	gras/o	F	BRO6: graso		graisse	fat	Fett	t?uszcz	????				
GRAT/	grat/i	F	BRO9: grati		gratter	scratch	kratzen, ritzen	drapac'	????????				
GRATUL/	gratul/i	F	BRO8: gratuli		féliciter	congratulate	gratuliren	winszowac'	???????????				
GRAV/	grav/a	F	BRO2: grava		grave, important AK	important	wichtig	waz'ny	??????				
GRAVED/	graved/a	F	BRO9: graveda		enceinte, grosse	pregnant	schwanger	cie;z'arna	??????????				
GREG/	greg/o	6OA	BRO9: grego	greg/o. (Zoologio) Kolekto da brutoj, birdoj au( (fig.) da homoj. (noto)	troupeau	flock	Herde	stado		grey, rebaño, manada	gregge		
GREN/	gren/o	F	BRO5: greno		blé	grain	Korn, Getreide	zboz.e	?????, ????				
GRIMAC/	grimac/i	F	BRO9: grimaci		grimace	grimace	Grimasse	grymas	???????, ?????? AK				
GRIMP/	grimp/i	3OA	BRO7: grimpi		grimper, gravir	to climb	klettern	wdrapac' sie; (noto)		trepar	arrampicarsi		trepar
GRINC/	grinc/i	F	BRO9: grinci		grincer	gnash, grind (of teeth, etc.) AK	knirschen	zgrzytac'	??????????				
GRIP/	grip/o	2OA	BRO9: gripo										
GRIZ/	griz/a	F	BRO5: griza		gris	grey	grau	szary, siwy	?????, ?????				
GROT/	grot/o	F	BRO9: groto		grotte	grotto AK	Grotte	grota	?????				
GRU/	gru/o	F	BRO9: gruo		grue (oiseau)	crane (bird)	Kranich	z'óraw	???????				
GRUMBL/	grumbl/i	2OA	BRO9: grumbli		grommeler	to grumble	nörgeln						
GRUND/	grund/o	4OA	BRO7: grundo		terrain (au point de vue de sa nature, de sa composition)	ground, earth (soil)	Boden (in Bezug auf seine Beschaffenheit)			terreno, suelo	(composizione del) terreno	terreny	terreno, chão
GRUP/	grup/o	F	BRO5: grupo		groupe	group	Gruppe	grupa	??????				
GUDR/	gudr/o	F	BRO9: gudro		goudron	tar	Theer	dziegiec'	??????				
GUM/	gum/o	F	BRO9: gumo		gomme	gum (product) AK	Gummi	guma	?????, ??????				
GUST/	gust/o	F	BRO7: gusto		goût	taste	Geschmack	smak, gust	?????				
GUST/UM/	gust/um/i	F	BRO9: gustumi		goûter, essayer	taste (trans.) AK	kosten, schmecken	kosztowac', próbowac'	????????? ?? ????, ?????????? AK				
GUT/	gut/o	F	BRO6: guto		dégoutter	drop	tropfen, triefen	kapac'	??????				
GVARDI/	gvardi/o	F	BRO9: gvardio		garde	guard (subst.) (milit.) AK	Garde	gwardya	???????				
GVID/	gvid/i	F	BRO6: gvidi		guider	guide	führen, leiten AK	byc' przewodnikiem	???????????????				
G^ARDEN/	g^arden/o	F	BRO4: g^ardeno		jardin	garden	Garten	ogród	????				
G^EM/	g^em/i	F	BRO7: g^emi		gémir	groan	stöhnen	ste;kac', je;czec' AK	???????				
G^EMEL/	g^emel/o	4OA	BRO9: g^emelo		jumeau	a twin	Zwilling			gemelo	gemello	bessó	gémeo
G^EN/	g^en/i	F	BRO6: g^eni		gêner, serrer	inconvenience, bother, disturb AK	genireu	z'enowac'	????????				
G^ENDARM/	g^endarm/o	2OA	BRO9: g^endarmo										
G^ENERAL/	g^eneral/a	1OA	BRO6: g^enerala		général (adj)	general	allgemein	ogólny, powszechny	?????, ???????????				
G^ENTIL/	g^entil/a	F	BRO6: g^entila		gentil, poli	polite, courteous AK	höflich, artig AK	grzeczny	????????				
G^ERM/	g^erm/o	F	BRO9: g^ermo		germe	germ AK	Keim	kie?ek	???????				
G^I	g^i	F	BRO1: g^i		cela, il, elle	it	es, dieses	ono, to	???, ???				
G^IB/	g^ib/o	F	BRO9: g^ibo		bosse	hump	Buckel, Höcker	garb	?????				
G^IS	g^is	F	BRO1: g^is		jusqu’à, jusqu’à ce que	up to, until	bis	do, az.	??				
G^OJ/	g^oj/i	F	BRO2: g^oji		se réjouir	rejoice, be glad AK	sich freuen	cieszyc' sie;	??????????				
G^U/	g^u/i	F	BRO7: g^ui		jouir de, prendre plaisir à AK	enjoy AK	geniessen, sich erquicken	uz'ywac', doznawac', cieszyc' sie;	????????????				
G^UST/	g^ust/a	F	BRO4: g^usta		juste, exact, correct AK	right, exact, correct AK	recht, richtig	w?as'ciwy	???? ????, ?????				
HA	ha!	F	BRO1: ha		ah!	ah, alas	ha! ach! AK	a! ach!	?! ???!				
HAJL/	hajl/o	F	BRO8: hajlo		grêle	hail	Hagel	grad	?????				
HAK/	hak/i	F	BRO7: haki		couper, tailler à la hache AK	hew, chop	hauen, hacken	ra;bac'	??????				
HAL/	hal/o	F	BRO9: halo		halle	hall (market, etc.) AK	Halle	halla	???? (????????)				
HALT/	halt/i	F	BRO3: halti		s’arrêter	come to a stop	anhalten, Halt machen, stocken	stawac', zatrzymywac' sie;	???????????????				
HANGAR/	hangar/o	8OA	BRO9: hangaro	hangar/o. Granda s^irmejo esence formita el metalc^arpenta tegmento subtenata de metalaj fostoj kaj uzata por enteni fojnon, kulturmas^inojn, aviadilojn, aerostatojn, k.s.	hangar	hangar, storage building	Schuppen, Halle, Hangar			cobertizo, hangar	tettoi, hangar, capannone, (avio)rimessa		hangar
HAR/	har/o	F	BRO3: haro		cheveu, poil AK	hair	Haar	w?os	??????				
HARING/	haring/o	F	BRO9: haringo		hareng	herring	Häring	s'ledz'	???????				
HARMONI/	harmoni/o	1OA	BRO9: harmonio		harmonie	harmony	Harmonie	harmonja	????????				
HAU(T/	hau(t/o	F	BRO6: hau(to		peau	skin (subst.) AK	Haut	skóra	????				
HAV/	hav/i	F	BRO2: havi		avoir	have	haben	miec'	?????				
HAVEN/	haven/o	F	BRO7: haveno		port, hâvre	port, harbour	Hafen	przystan', port	??????				
HAZARD/	hazard/o	2OA	BRO9: hazardo										
HE	he	1OA	BRO8: he		hé ! (noto)	eh !	he! holla ! heda !	hej !	??? !				
HEG^/	heg^/o	8OA	BRO9: heg^o	heg^/o. Barilo el interplektitaj arbedoj.	haie, haie vive	hedge	Hecke, (Hag)			seto, cerco	siepe, chiudenda		cerca viva
HEJM/	hejm/o	F	BRO3: hejmo		le chez soi, le foyer domestique AK	home	daheim, Heimat	dom, ojczyzna	????				
HEJT/	hejt/i	F	BRO6: hejti		chauffer, faire du feu	heat (vb.)	heizen	palic' (w piecu)	?????? (?????)				
HEKTAR/	hektar/o	1OA	BRO9: hektaro		hectare	hectare	Hektar	hektar	???????				
HEL/	hel/a	F	BRO4: hela		clair (qui n’est pas obscur)	light, clear AK	hell, grell	jasny, jaskrawy	?????				
HELIKOPTER/	helikopter/o	8OA	BRO9: helikoptero	helikopter/o. Flugmas^ino ekipita per granda vertikalaksa helico kaj kapabla sin levi kaj mallevi vertikale, sin movi en la aero au( tie s^vebi.	hélicoptère	helicopter	Hubschrauber			helicóptero	elicottero		helicóptero
HELP/	help/i	F	BRO2: helpi		aider	help	helfen	pomagac'	????????				
HEPAT/	hepat/o	F	BRO9: hepato		foie	liver	Leber	wa;troba	??????				
HERB/	herb/o	F	BRO5: herbo		herbe	grass	Gras	trawa	?????				
HERED/	hered/i	F	BRO8: heredi		hériter	inherit	erben	dziedziczyc'	???????????				
HERO/	hero/o	F	BRO8: heroo		héros	hero AK	Held	bohater	?????				
HEROLD/	herold/o	1OA	BRO9: heroldo		héraut	herald	Herold	herold	????????				
HEZIT/	hezit/i	3OA	BRO7: heziti		hésiter	to hesitate	zaudern	wahac' sie; (noto)		hesitar	esitare		hesitar
HIERAU(	hierau(	F	BRO1: hierau(		hier	yesterday	gestern	wczoraj	?????				
HIGIEN/	higien/o	1OA	BRO9: higieno		hygiène	hygiene	Hygiene	hygjena	???????				
HIMN/	himn/o	1OA	BRO9: himno		hymne	hymn	Hymne	hymn	?????				
HIRUND/	hirund/o	F	BRO7: hirundo		hirondelle	swallow (bird)	Schwalbe	jaskó?ka	????????				
HISTORI/	histori/o	F	BRO4: historio		histoire	history, story	Geschichte	historya	???????				
HO	ho!	F	BRO1: ho		oh!	oh!	o! ach! oh! AK	o! och!	?! ???!				
HODIAU(	hodiau(	F	BRO1: hodiau(		aujourd’hui	to-day	heute	dzis'	???????				
HOK/	hok/o	F	BRO8: hoko		croc, crochet	hook	Haken, Angel	hak	?????				
HOM/	hom/o	F	BRO2: homo		homme (l’espèce)	man (the species) AK	Mensch	cz?owiek	????????				
HONEST/	honest/a	F	BRO6: honesta		honnête	honest	ehrlich	uczciwy	???????				
HONOR/	honor/o	F	BRO6: honoro		honorer	honour (vb.) AK	ehren	czcic'	?????				
HONT/	hont/i	F	BRO6: honti		avoir honte	be ashamed AK	sich schämen	wstydzic' sie;	?????????				
HOR/	hor/o	F	BRO3: horo		heure	hour	Stunde	godzina	????				
HORDE/	horde/o	F	BRO9: hordeo		orge	barley	Gerste	je;czmien'	??????				
HORIZONT/	horizont/o	1OA	BRO9: horizonto		horizon	horizon	Horizont	horyzont	????????				
HORIZONTAL/	horizontal/o	F	BRO9: horizontalo		horizontal	horizontal	wagerecht	poziomy	??????????????				
HORLOG^/	horlog^/o	F	BRO5: horlog^o		horloge, montre	clock	Uhr	zegar	????				
HOSPITAL/	hospital/o	1OA	BRO8: hospitalo		hôpital	hospital	Hospital	szpital	????????				
HOTEL/	hotel/o	F	BRO7: hotelo		hôtel	hotel	Herberge, Gasthaus	hotel, zajazd	??????????				
HUF/	huf/o	F	BRO8: hufo		sabot (d’animal) AK	hoof	Huf	kopyto	??????				
HUMAN/	human/a	1OA	BRO9: humana		humain	humane	human	humanitarny	????????				
HUMID/	humid/a	8OA	BRO8: humida	humid/a. Entenanta ian kvanton da likvo au( vaporo.	humide	damp, humid	feucht			húmedo, (húmido)	umido		úmido
HUMIL/	humil/a	F	BRO7: humila		humble	humble	demüthig	pokorny	????????				
HUMOR/	humor/o	F	BRO7: humoro		humeur (caractère)	temper, humour AK	Laune	humor	???????????? ????				
HUND/	hund/o	F	BRO4: hundo		chien	dog	Hund	pies	????, ??????				
H^EMI/	h^emi/o	F	BRO8: h^emio		chimie	chemistry	Chemie	chemia	?????				
H^OR/	h^or/o	F	BRO9: h^oro		chœur	chorus, choir	Chor	chór	????				
-I	-i	F	BRO1: -i		marque l’infinitif; ex. lau(d/i louer	termination of the intinitive in verbs; e. g. lau(d/i to praise	bezeichnet den Intinitiv; z. B. lau(d/i loben	oznacza tryb bezokoliczny s?owa; np. lau(d/i chwalic'	????????? ?????????????? ??????????; ????. lau(d/i ???????				
IA	ia	F	BRO1: ia		quelconque, quelque	of some kind, any AK	irgend welcher	jakis'	?????-??????				
IAL	ial	F	BRO6: ial		pour une raison quelconque	for some cause AK	irgend warum	dla jakiejs' przyczyny	??????-??????				
IAM	iam	F	BRO1: iam		jamais, un jour	at some time, ever AK	irgend wann, einst	kiedys'	?????-??????				
