Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
NUL/	nul/o	F	BRO4: nul	nul/o. La nombrosigno 0. "nul" La nombrosigno 0 (numeralo, radiko de la Fundamenta "nul/o").	zéro	zero, nought AK	Null	nul, zero	????	cero	zero		zero
NUMER/	numer/o	F	BRO5: numero		numéro	number (of a magazine, etc.)	Nummer	numer	??????				
NUN	nun	F	BRO1: nun		maintenant	now	jetzt	teraz, obecnie	??????				
NUR	nur	F	BRO1: nur		seulement, ne... que	only (adv.)	nur	tylko	??????				
NUTR/	nutr/i	F	BRO7: nutri		nourrir	nourish, feed (trans.) AK	nähren	karmic'	??????, ???????				
-O	-o	F	BRO1: -o		marque le substantif	ending of nouns (substantive)	bezeichnet das Substantiv	oznacza rzeczownik	????????? ???????????????				
OBE/	obe/i	F	BRO6: obei		obéir	obey	gehorchen	byc' pos?usznym	????????????				
OBJEKT/	objekt/o	F	BRO5: objekto		objet	object	Gegenstand	przedmiot	????????				
OBL/	-obl-	F	BRO1: -obla		marque l’adjectif numéral multiplicatif; ex. du deux -- du/obl/ double	...fold; e. g. du two -- du/obl/ twofold, duplex	bezeichnet das Vervielfältigungswort; z. B. du zwei -- du/obl/ zweifach, doppelt AK	oznacza liczebnik wieloraki; np. du dwa -- du/obl/ podwójny	????????? ???????????? ????????????; ????. du ??? -- du/obl/ ???????				
OBLIKV/	oblikv/a	1OA	BRO9: oblikva		oblique	oblique	schräg	s'kos'ny	?????				
OBSERV/	observ/i	F	BRO8: observi		observer	observe	beobachten, beaufsichtigen	obserwowac'	?????????				
OBSTAKL/	obstakl/o	8OA	BRO9: obstaklo	obstakl/o. Tio, kio malhelpas au( malfruigas la iradon (propre au( figure).	obstacle, empêchement	obstacle, hindrance	Hindernis, Erschwerung			obstáculo	ostacolo		obstàculo, empecilho, embaraço
OBSTIN/	obstin/a	F	BRO9: obstina		entêté, obstiné	obstinate	eigensinnig	uparty	???????				
OCEAN/	ocean/o	1OA	BRO9: oceano		océan	ocean	Ozean	ocean	??????				
ODOR/	odor/i	F	BRO7: odori		sentir, avoir ou répandre une odeur AK	give out odour, smell AK	riechen, duften	pachna;c'	???????				
OFEND/	ofend/i	F	BRO9: ofendi		offenser	offend	beleidigen	obraz.ac' AK	???????				
OFER/	ofer/i	F	BRO8: oferi		sacrifier	sacrifice, offer AK	opfern	ofiarowac'	??????????				
OFERT/	ofert/i	8OA	BRO7: oferti	ofert/i. Proponi (varon au( servon) al kliento: "la leg^o pri oferto kaj mendo".	offrir (commerce)	to offer, to tender (for sale or supply)	anbieten, feilbieten, offerieren			ofrecer (oferta), ofertar	offrire		oferecer (com.)
OFIC/	ofic/o	F	BRO5: ofico		office, emploi	office, duty, function AK	Amt	urza;d	?????????				
OFICIAL/	oficial/a	F +1OA +8OA	BRO8: oficiala		officiel	official	offiziell	oficjalny	???????????				
OFICIR/	oficir/o	F	BRO9: oficiro		officier	officer (mil. and nav., etc.) AK	Offizier	oficer	???????				
OFT/	oft/a	F	BRO2: ofta		souvent	often	oft	cze;sto	?????				
OK	ok	F	BRO1: ok		huit	eight	acht	os'm	??????				
OKAZ/	okaz/i	F	BRO2: okazi		avoir lieu, arriver	happen	vorfallen	zdarzac' sie;	?????????				
OKCIDENT/	okcident/o	F	BRO6: okcidento		ouest	west	West, Westen	zachód	??????				
OKTOBR/	Oktobr/o	F	BRO5: Oktobro		Octobre	October	Oktober	Paz'dziernik	???????				
OKUL/	okul/o	F	BRO3: okulo		œil	eye	Auge	oko	?????				
OKUP/	okup/i	F	BRO3: okupi		occuper	occupy	einnehmen, beschäftigen	zajmowac'	????????				
OL	ol	F	BRO1: ol		que (dans une comparaison)	than	als	niz'	??? (??? ???????, ???????) AK				
OLE/	ole/o	F	BRO6: oleo		huile	oil	Oel	olej	????? (?????? - ????., ??????. ? ???????????) AK				
OLIV/	oliv/o	F	BRO8: olivo		olive	olive	Olive	oliwa	???????				
OMBR/	ombr/o	F	BRO5: ombro		ombre	shadow	Schatten	cien'	????				
OMBREL/	ombrel/o	F	BRO8: ombrelo		parapluie, ombrelle	umbrella	Schirm	parasol	???????				
ON/	-on-	F	BRO1: -ona		marque les nombres fractionnaires; ex. kvar quatre -- kvar/on/ le quart	marks fractions; e. g. kvar four -- kvar/on/ a fourth, quarter	Bruchzahlwort; z. B. kvar vier -- kvar/on/ Viertel	oznacza liczebnik u?amkowy; np. kvar cztery -- kvar/on/ czwarta cze;s'c', c'wierc'	????????? ???????????? ???????; ????. kvar ?????? -- kvar/on/ ????????				
OND/	ond/o	F	BRO6: ondo		onde, vague	wave	Welle	fala	?????				
ONI	oni	F	BRO1: oni		on	one, people, they	man	zaimek nieosobisty AK	????????? ??????????? ????. ?????				
ONKL/	onkl/o	F	BRO4: onklo		oncle	uncle	Onkel	wuj, stryj	????				
ONT/	-ont-	F	BRO1: -ont-		marque le participe futur d’un verbe actif	ending of fut. part. act. in verbs	bezeichnet das Participium fut. act.	oznacza imies?ów czynny czasu przysz?ego	????????? ????????? ???????? ??????? ??????????????? ??????				
OP/	-op-	F	BRO9: -op-		marque l’adjectif numéral collectif; ex. du deux -- du/op/ à deux	marks collective numerals; e. g. tri three -- tri/op/ three together	Sammelzahlwort; z. B. du zwei -- du/op/ selbander, zwei zusammen	oznacza liczebnik zbiorowy; np. du dwa -- du/op/ we dwoje	????????? ???????????? ?????????????; ????. du ??? -- du/op/ ???????				
OPER/	oper/o	1OA	BRO9: opero		opéra	opera	Oper	opera	?????				
OPERACI/	operaci/i	1OA	BRO8: operacii		opération (chir.)	operation	Operation	operacja	????????				
